id,name,en_name,code,상세페이지 1차 완성,상세페이지 2차 완성
1583,테스트,Test,10000,True,True
1585,지구별,Gigue Byeol,10002,False,False
1586,레인보우 티니,Rainbow Tini,10003,False,False
1587,토피넛 라떼,Toffee Nut Latte,10004,False,False
1588,배드걸,Bad Girl,10005,False,False
1589,국민 IPA,Kookmin IPA,10006,False,False
1590,오르가즘,Orgasm,10007,False,False
1591,도화,Peach Blossom,10008,False,False
1592,발렌시아,Valencia,10009,False,False
1593,초콜렛 마티니,Chocolate Martini,10010,False,False
1594,클로버 클럽,Clover Club,10011,False,False
1595,랄라스 민트 패션,Lala's Mint Passion,10012,False,False
1596,스푸모니,Spumoni,10013,False,False
1597,에스프레소 마티니,Espresso Martini,10014,False,False
1598,텡거레이 넘버텐 진토닉,Tanqueray No.10 & Tonic,10015,False,False
1599,구미 보드카,Gummy vodca,10016,False,False
1600,엑스트라 스페셜 에일,Extra Special Ale,10017,False,False
1601,스트롱 에일,Strong Ale,10018,False,False
1602,필스너,Pilsner,10019,False,False
1603,267 쌀맥주,267 Rice Beer,10020,False,False
1604,밀형제 IPA,Wheat Brothers IPA,10021,False,False
1605,스타우텔라,Stoutella,10022,False,False
1606,무알콜 신데렐라,Nonalcohol Cinderella,10023,False,False
1607,아그와 밤,AGWA Bomb,10024,False,False
1608,샤크 어택,Shark Attack,10025,False,False
1609,"말리부 콕, 말리부 파인, 말리부 밀크",Malibu series,10026,False,False
1610,홀리 워터,Holy Water,10027,False,False
1611,베이비 기네스,Baby Guinness,10028,False,False
1612,오트밀 스타우트,Oatmeal Stout,10029,False,False
1613,용산 일렉트로 IPA,Yongsan Electro IPA,10030,False,False
1614,몬티스 블랙 비어,MONTEITH'S Black Beer,10031,False,False
1615,쾨스트리쳐,Kostrizer,10032,False,False
1616,빠몽,Bbamong,10033,False,False
1617,빠솜,Bbasom,10034,False,False
1618,쉐퍼호퍼 바이젠,Schofferhofer Weizen,10035,False,False
1619,신촌 페일 에일,Sinchon Pale Ale,10036,False,False
1620,코스모스 IPA,Cosmos IPA,10037,False,False
1621,서프맨,Surf Man,10038,False,False
1622,제주 IPA,Jeju IPA,10039,False,False
1623,ODB 레드 더블 IPA,ODB Red Double IPA,10040,False,False
1624,초코파이 브라운 에일,Choco Pie Brown Ale,10041,False,False
1625,헤페 라떼,Hefe Latte,10042,False,False
1626,핫초코 임페리얼 스타우트,Hot Choco Imperial Stout,10043,False,False
1627,듀체스 드 부르고뉴 750ml,Duchesse de Bourgogne 750ml,10044,True,True
1628,밀이그램 페일 에일,Mill2gram Pale Ale,10045,False,False
1629,라들러,Radler,10046,False,False
1630,뮤닉 둔켈,Munich Dunkel,10047,False,False
1631,데일리샷,Dailyshot,10048,False,False
1632,발렌타인 싱글몰트 글렌버기 15년(구형),Ballantine's Glenburgie 15yo,10049,True,True
1633,밀튼더프,Miltonduff,10050,False,False
1634,글렌토커스,Glentauchers,10051,False,False
1635,우우,Woo Woo,10052,False,False
1636,ㅋ IPA,Kieuk IPA,10053,False,False
1637,긍정신 레드 에일,The Great God of Fun Red Ale,10054,False,False
1638,핑크 레모니쉬,Pink Lemonish,10055,False,False
1639,딥블루씨,Deep Blue Sea,10056,False,False
1641,더테이블 허니브라운,THE TABLE Honey Brown,10058,False,False
1642,라 쇼페,La Chouffe,10059,True,False
